text_id	sent_id	sentence	meaning	verb_in_sentence	val_type	P_arg	expression_type	deter_present	det_form	notes
mocCA190924_1	18	ka tʃaqanem  naɣi ɾa staʁajaqotapiɣi noʁoɾik  satʃiqotaɣe  ka dʒapaʁaɣin	es igual  ahora que estamos recordando el sufrimiento de donde vengo  me enseñaba	talk	two-place-ext	yes	nominal	no	not_applicable	
mocCA190924_1	18			depart	one-place-ext	yes	morphological	no	not_applicable	
mocCA190924_1	18			transfer_knowledge	two-place	yes	sentential	no	not_applicable	
mocCA190924_1	19	sakonalo na isiɣijako  peɾo itoʁo weɾa iwoʁo    we so naʁa ɲateːnalek so maɲikʰ	y yo atrapaba los animales  y yo me preucupava  había un día que encontré un ñandú	take	two-place	yes	nominal	yes	not_applicable	
mocCA190924_1	19			exist	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	19			find	two-place	yes	nominal	yes	so	
mocCA190924_1	20	qaqa ka iʁonqate    qapaʁanaʁajk ɲimoːtetaˈβa         sowaʁan saʔe maɲik  ka joʁonekʰ	(yo) no tenía arma  culeco       le llegaba despacito y le pegué al ñandú y lo casé	exist.neg	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	20			approach	two-place	yes	zero	not_applicable	not_applicable	
mocCA190924_1	20			hit	two-place	yes	nominal	yes	saʔe	
mocCA190924_1	21	peʔtaʔ qajaʔantak ama joʁoɾik itʃiɣiɲo̰ʔ  jim qojaːnem soʔe maɲik	tal vez veían como yo sufria por eso y medieron el ñandú	see	two-place	yes	nominal	no	not_applicable	
mocCA190924_1	21			give	three-place	yes	nominal	yes	soʔe	
mocCA190924_1	22	jole:nta'ʁat 'kan  saʔwe so ipaɾaʁanaʁaɾpi  maʃiˈhek ḛnβiʎˈanxela  joʁoˈɣe	y yo siempre recuerdo todo mis compañero casadores que ya fueron a villa angela  que ya paso	go	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	23	qam naɣi tʃisoleːntaʁantak naɣi  qaʔ saʔden ka noʁoɾik  kahe paɾaʁanaʁajk	y hoy solo estoy recordando y conozco el sufrimiento aquel casador	remember	two-place	yes	zero	not_applicable	not_applicable	
mocCA190924_1	23			know	two-place	yes	nominal	yes	ka	
mocCA190924_1	24	kaʔ iβoɾole jaβantʃiɣiɾiʔ jŏʔʁoɾik  qam naɣi saʔdenataʁan qajka ka joʁoɾek βaqaneloʁotek ajem	y mi esposa vio como yo sufria      y ahora pienso que yo ya no sufro más  que ami me despertaron	see	two-place	yes	nominal	no	not_applicable	
mocCA190924_1	24			know	two-place-taɢan_intr	yes	sentential	no	not_applicable	
mocCA190924_1	24			wake_up	two-place	yes	pron_1st_sg	no	not_applicable	
mocCA190924_1	25	najaːlqa napaʁaɣineʔ  naʔhe la eʰkwela  kaʔ im ɾetaqatot ken doqolaseʔ	que mis hijo estudien en  la  escuela   y ellos simpre me hablan en castilla	transfer_knowledge	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	25			talk	one-place-ext	yes	pron_1st_sg	no	not_applicable	
mocCA190924_1	26	qajim na doqoʃi qajka sasoviʔ ʃinaken           sasoviʔ maʔ poiɲom na laqaːtqa na doqoʃe	y yo no alcanso a los criollo, yo siempre dije  no llego porque hablan muy profundo los criollos	arrive	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	26			arrive	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	27	qam ɲaːtʃik ɾanem naɣi  ɸeloqotaɣit ɲiːaːlek qaʔa	pero mi agradecimiento que asi como hoy que estoy con mi hijo	be_next_to	one-place-ext	yes	nominal	yes	ɲi	
mocCA190924_1	28	ʔwe ka iwaːnaʁanaʁak  tʃiqot ka ɲiwenataʁak ɾa iwaːnaʁanaʁak  ma̰ʔ ka ʒapaʁaɣin ka sadenataʁan	y mi vision es que yo pueda darle mi vision a mi me enseñaron y yo recién pensé	transfer_knowledge	two-place	no	zero	no	not_applicable	
mocCA190924_1	28			know	two-place-taɢan_intr	no	zero	no	not_applicable	
mocCA190924_1	29	hɪk so joʁoɾik         naɣi na seβeta̰ʔa qajka qajka ka joʁoɾik	se fue mi sufrimiento  donde estoy ahora no hay sufrimiento	go	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	29			be	one-place-ext	yes	morphological	not_applicable	not_applicable	
mocCA190924_1	29			exist.neg	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	30	ka iɾa ɾa iwaːʁanaʁanaʁak keɾa satʃikotaɣe	eso de lo que vi  de donde vengo	depart	one-place-ext	yes	morphological	not_applicable	not_applicable	
mocCA190924_1	31	so soʔe naʁa mil novesiten otʃenta y treʰ  ka sakona ɲiβoɾa keteʁajolom	un dia del año 1983 y nos unimos, mi esposa era muy joven	be_cop	avalent	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	31			take	two-place	yes	nominal	no	not_applicable	
mocCA190924_1	32	peɾo saqaːtaʁanem ɾa iʃiɾa sotawa soʔuenataʁantak  qaʔnak waːʔ qamiʔ jakoneʔ ʃiɣiɣe	pero le conté que podía ayudar trabajando          y ella dijoː bueno, sí me voy con vos	speak	two-place-aɢan_intr-ext	yes	sentential	yes	ɾa	the P argument is only DO
mocCA190924_1	32			help	two-place	yes	zero_anaphora	no	not_applicable	
mocCA190924_1	32			work	one-place-taɢan_intr	no	not_applicable	not_applicable	not_applicable	
mocCA190924_1	32			say	two-place	yes	sentential	no	not_applicable	
mocCA190924_1	32			take	two-place	yes	pron_2nd_sg	no	not_applicable	
mocCA190924_1	32			go	one-place-ext	yes	morphological	not_applicable	not_applicable	
mocCA190924_1	33	kaʔ naɣi weːtaina we naqaɾaʔa	y ahora está acá y tenemos nuestra casa	be	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	34	kaʔ we ka qaʔnaːtʃiɣeʁak tʃikot ka qaɾtaʔ maɾqoːtʃiɣi jaːnem kal naːtʃiɣeʁak ka jaːlek	y gracias damos cuando un padre da a su hijo de lo que quiere	exist	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	34			depart	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	34			attach	one-place-ext	yes	zero_anaphora	not_applicable	not_applicable	
mocCA190924_1	34			give	three-place	yes	nominal	no	not_applicable	
mocCA190924_1	35	kaiɾa ɾa jaqaːtaʁanaʁak na naʔʁa             	eso es de lo que puedo contarle en este día  24 de septiembre	be_cop	avalent	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	36	soleːntaʁantaːk kaʔ weːta ina ɲi iβaːnatek doqolek         da jaʔdenta ɾa ɲouenataʁak	estoy recordando entonces ahora que está mi amigo criollo  él sabe lo que me pasó un día	remember	two-place-taɢan_intr	no	not_applicable	not_applicable	not_applicable	
mocCA190924_1	36			be	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	36			know	two-place	yes	nominal	yes	ɾa	
mocCA190924_1	37	we sonaʁaː roqoitʃiɣomta ɲowenataʁak qam jim noviɾetaʔa ka ʒotawantak ken	y que yo estaba flojo un dia, estaba mal y él siempre me llegaba y/para ayudarme	exist	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	37			come	one-place-ext	yes	pron_1st_sg	not_applicable	not_applicable	
mocCA190924_1	37			help	two-place	yes	zero_anaphora	not_applicable	not_applicable	
mocCA190924_1	38	waʔɲa naɲaːnoʎiʔ qa̰ʔ ɲitontaːken la'ʔatlaseβete	y bueno, cuando él me daba algo yo me ponía contento porque él me daba para la carne	give	three-place	yes	morphological	no	not_applicable	
mocCA190924_1	38			be_happy	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
